CATEGORY,SHORT_DESCRIPTION,SUMMARY,OCI_DOC_URL,USE_CASE,PERSONA,VERSION,LAST_UPDATED_DATE,KEY_FEATURES
Storage,OCI Storage - Storage Management,Overview of tools for monitoring and managing OCI storage resources.,https://docs.oracle.com/en-us/iaas/Content/Storage/Tasks/storagemanagement.htm,"Capacity planning, Performance monitoring",Storage Administrator,v1.3,05-Jun-24 12.00.00.00 AM,Dashboard; Alerts; Analytics
Storage,OCI Storage - Performance Tuning for Storage,Documentation on optimizing storage performance in OCI.,https://docs.oracle.com/en-us/iaas/Content/Storage/Tasks/performance.htm,Optimizing I/O performance,Performance Engineer,v1.0,01-May-24 12.00.00.00 AM,I/O optimization; Caching; Throughput enhancement
Storage,OCI Storage - Encryption and Security,Guide on enabling encryption for OCI storage services.,https://docs.oracle.com/en-us/iaas/Content/Storage/Tasks/encryption.htm,"Data protection, Compliance",Security Officer,v1.0,10-Apr-24 12.00.00.00 AM,Encryption at rest; Key management; Compliance
Storage,OCI Storage - Backup Solutions,Overview of backup solutions integrated with OCI Storage services.,https://docs.oracle.com/en-us/iaas/Content/Storage/Concepts/backup.htm,"Data backup, Disaster recovery",Backup Administrator,v1.1,25-Mar-24 12.00.00.00 AM,Incremental backup; Scheduling; Recovery options
Security,OCI Security - Identity and Access Management,"Documentation on managing users, groups, and policies in OCI IAM.",https://docs.oracle.com/en-us/iaas/Content/Identity/Concepts/overview.htm,"Access control, User management",Security Administrator,v2.0,05-Dec-24 12.00.00.00 AM,Multi-factor authentication; Policy management; SSO integration
Security,OCI Security - Vault and Key Management,Guide to using OCI Vault for encryption key management.,https://docs.oracle.com/en-us/iaas/Content/KeyManagement/Concepts/keyoverview.htm,"Encryption, Data protection",Security Engineer,v1.0,10-Nov-24 12.00.00.00 AM,Key rotation; Secure storage; Compliance
Security,OCI Security - Cloud Guard,Documentation for OCI Cloud Guard to monitor security posture.,https://docs.oracle.com/en-us/iaas/Content/Security/Concepts/cloudguard.htm,"Threat detection, Security monitoring",Security Analyst,v1.2,05-Oct-24 12.00.00.00 AM,Anomaly detection; Automated alerts; Risk assessment
Security,OCI Security - Web Application Firewall,Guide on configuring the OCI Web Application Firewall to protect web apps.,https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/waf.htm,"Mitigating web attacks, DDoS protection",Network Security Specialist,v1.0,01-Sep-24 12.00.00.00 AM,Application layer security; Traffic filtering; DDoS mitigation
Security,OCI Security - Security Zones,Documentation on setting up security zones in OCI for isolated environments.,https://docs.oracle.com/en-us/iaas/Content/Security/Concepts/securityzones.htm,"Enhanced security, Compliance",Compliance Officer,v1.0,20-Aug-24 12.00.00.00 AM,Isolation; Policy enforcement; Auditing
Security,OCI Security - Audit Logs and Monitoring,Guide to accessing and analyzing OCI audit logs.,https://docs.oracle.com/en-us/iaas/Content/Audit/Concepts/auditoverview.htm,"Compliance, Forensics",Security Auditor,v1.3,15-Jul-24 12.00.00.00 AM,Log aggregation; Query capabilities; SIEM integration
Security,OCI Security - Network Security Groups,Documentation on using NSGs to control traffic in OCI.,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/nsgrules.htm,"Access control, Network segmentation",Network Administrator,v1.0,10-Jun-24 12.00.00.00 AM,Granular rules; Isolation; Easy configuration
Security,OCI Security - Data Security Best Practices,Guide on securing data in OCI across services.,https://docs.oracle.com/en-us/iaas/Content/Security/Concepts/datasecurity.htm,"Data protection, Compliance",Data Security Officer,v1.0,05-May-24 12.00.00.00 AM,Encryption; Access control; Backup security
Security,OCI Security - Compliance and Governance,Documentation on meeting regulatory requirements in OCI.,https://docs.oracle.com/en-us/iaas/Content/Compliance/Concepts/overview.htm,"Regulatory compliance, Audit readiness",Compliance Manager,v1.0,15-Apr-24 12.00.00.00 AM,Standards alignment; Auditing; Reporting
Security,OCI Security - Vulnerability Scanning,Guide to using OCI vulnerability scanning tools to assess risks.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/vulnerability.htm,"Risk management, Security assessment",Security Tester,v1.0,30-Mar-24 12.00.00.00 AM,Automated scanning; Reporting; Integration with Cloud Guard
CIS,OCI CIS Benchmark Overview,Documentation for implementing CIS benchmarks in OCI environments.,https://docs.oracle.com/en-us/iaas/Content/Security/Concepts/cisbenchmark.htm,"Security compliance, Best practices",Security Auditor,v1.0,01-Dec-24 12.00.00.00 AM,Baseline configurations; Security controls; Compliance
CIS,OCI CIS - Compute Benchmark,Guide to applying CIS benchmarks for OCI Compute services.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/ciscompute.htm,"Server hardening, Risk mitigation",Systems Administrator,v1.0,20-Nov-24 12.00.00.00 AM,Security controls; Configuration guidelines; Best practices
CIS,OCI CIS - Database Benchmark,Documentation on CIS benchmarks for OCI Database services.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/cisdatabase.htm,"Database security, Compliance",DBA,v1.0,15-Oct-24 12.00.00.00 AM,Hardening guidelines; Security controls; Audit checklists
CIS,OCI CIS - Networking Benchmark,Guide to implementing CIS benchmarks for OCI networking components.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/cisnetwork.htm,"Network security, Compliance",Network Engineer,v1.0,10-Sep-24 12.00.00.00 AM,Firewall rules; Secure configurations; Best practices
CIS,OCI CIS - Storage Benchmark,Documentation for CIS benchmark guidelines for OCI Storage services.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/cisstorage.htm,"Data protection, Compliance",Storage Manager,v1.0,05-Aug-24 12.00.00.00 AM,Encryption; Access controls; Audit trails
CIS,OCI CIS - Identity and Access Benchmark,Guide to CIS benchmarks for OCI IAM services.,https://docs.oracle.com/en-us/iaas/Content/Security/Tasks/cisiam.htm,"User access control, Compliance",Security Auditor,v1.0,01-Jul-24 12.00.00.00 AM,Multi-factor authentication; Role-based access; Audit logging
